Habitability_Rank,P_NAME,P_RADIUS,P_MASS,P_DENSITY,P_TEMP_SURF,P_PERIOD,P_SEMI_MAJOR_AXIS,S_TEMPERATURE,S_LUMINOSITY,S_METALLICITY,Predicted_Habitability_Probability,P_HABITABLE_BINARY
1,TOI-700 d,-0.9116952592323455,-0.4497279021149284,0.9068346596073343,-1.3393052181276728,-0.29055027406618184,-0.3566316994784326,-2.332363208361752,-0.7956503198521166,-0.5693607876431791,0.99895713814495,1
2,Kepler-1649 c,-0.9123020674171194,-0.4497279021149284,0.8975092116821948,-1.282344468571559,-0.3409398153594051,-0.46265307413527296,-2.332363208361752,-0.7956503198521166,-1.0998926716630926,0.9986882825837479,1
3,TOI-700 e,-0.9123020674171194,-0.4497279021149284,0.7619030932041102,-1.2758073254148377,-0.31763186137696203,-0.3882010722166991,-2.332363208361752,-0.7956503198521166,-0.5693607876431791,0.9985216972977693,1
4,HN Lib b,-0.6837376511522325,-0.4426154100150276,-0.17685367752915282,-1.4158533663814943,-0.29423458546237036,-0.3799046841592024,-2.332363208361752,-0.7956503198521166,-1.29884212817056,0.9981585674884202,1
5,K2-72 e,-0.8678028005336902,-0.4481988881127758,0.9451707061504244,-1.2736046224042947,-0.3279158889375003,-0.4183697560621415,-2.332363208361752,-0.7956503198521166,0.0274875818792235,0.997964439257096,1
6,GJ 667 C f,-0.8354396973457415,-0.44735707141496145,0.6328156899578758,-1.4005215789449508,-0.28603758695866327,-0.36449710633813726,-2.332363208361752,-0.7956503198521166,-2.09463995420043,0.9978246361423366,1
7,GJ 667 C c,-0.7707134909698444,-0.4454672788280312,0.19772100690084723,-1.3360216162729737,-0.31670168514125957,-0.3978981491670199,-2.332363208361752,-0.7956503198521166,-2.09463995420043,0.9971612433075765,1
8,Proxima Cen b,-0.9123020674171194,-0.4497279021149284,0.8359674222537755,-1.37433146046973,-0.3644561026783891,-0.4802586560650776,-2.332363208361752,-0.7956503198521166,0.0274875818792235,0.9971548000867574,1
9,Kepler-1229 b,-0.8455531670919756,-0.44763195033669667,0.7196965927422186,-1.4714494198551393,-0.151384312283156,-0.2086974033363169,-2.1421976055863174,-0.7956503198521166,-0.5030443021406898,0.9971492782549576,1
10,GJ 1061 d,-0.8940978218738983,-0.4491781442714578,0.991175178006146,-1.4063696927105591,-0.3592612900871394,-0.4743973117751059,-2.332363208361752,-0.7956503198521166,-0.6356772731456682,0.9970909944931176,1
11,GJ 1002 b,-0.9123020674171194,-0.4497279021149284,0.8558391209909333,-1.3754031710773587,-0.36682309162775856,-0.4833401716292906,-2.332363208361752,-0.7956503198521166,-1.7630575266879842,0.9970608991551579,1
12,TOI-2257 b,-0.6849512675217806,-0.442632589947636,-0.1697497603656147,-1.3906324301630384,-0.2968448196381278,-0.37634908927741817,-2.332363208361752,-0.7956503198521166,-1.8956904976929627,0.9968617466527292,1
13,Teegarden's Star c,-0.9123020674171194,-0.4497279021149284,0.8524364160446912,-1.4548345040224133,-0.36383020128061466,-0.48484860582156275,-2.332363208361752,-0.7956503198521166,-1.3651586136730491,0.9967641101833656,1
14,TRAPPIST-1 f,-0.9123020674171194,-0.4497279021149284,0.6867259250525135,-1.4542341764531592,-0.3700313574063779,-0.491108607719492,-2.332363208361752,-0.7956503198521166,0.16012055288420185,0.9959618366143732,1
15,GJ 1002 c,-0.906233985569379,-0.44965918238449454,0.9284413137856755,-1.4980486136397844,-0.3362449070033626,-0.4530637424844002,-2.332363208361752,-0.7956503198521166,-1.7630575266879842,0.995932873494333,1
16,GJ 667 C e,-0.8354396973457415,-0.44735707141496145,0.6328156899578758,-1.4798832933286261,-0.22064751023527623,-0.30308228565277234,-2.332363208361752,-0.7956503198521166,-2.09463995420043,0.99591909217069,1
17,K2-288 B b,-0.7444184696296362,-0.44465982199543386,0.06149913439022575,-1.4343981652786477,-0.3075372070165633,-0.35587748238229655,-2.332363208361752,-0.7956503198521166,-1.4977915846780274,0.9956131983649921,1
18,Kepler-296 f,-0.7646454091221041,-0.44531265943455517,0.15806259942136,-1.4445784221313023,-0.2175594952697577,-0.25782925988460875,-2.202049440508486,-0.7956503198521166,-0.6356772731456682,0.9955873619864437,1
19,GJ 273 b,-0.8233035336502609,-0.44703065269540077,0.5323890236033089,-1.3067692308426675,-0.3434340408800503,-0.4344227282269003,-2.332363208361752,-0.7956503198521166,0.4917029803966477,0.9955618979266607,1
20,Kepler-1652 b,-0.8050992881070398,-0.4465152547171471,0.40082692190265184,-1.3424334592714764,-0.288653809731953,-0.3543690481900244,-2.332363208361752,-0.7956503198521166,-2.09463995420043,0.9952897792534654,1
21,GJ 367 d,-0.6574426298120243,-0.4416361538563456,-0.25517197947785947,-1.2960821632319517,-0.29915560140256836,-0.3605494047626017,-2.332363208361752,-0.7956503198521166,-0.171461874628244,0.9944887857903215,1
22,TOI-715 b,-0.8152127578532737,-0.44680731357149084,0.4706919765195437,-1.3671688325288402,-0.3416363236178304,-0.4431511749351834,-2.332363208361752,-0.7956503198521166,-1.7630575266879842,0.9939437327399865,1
23,Kepler-296 e,-0.8192581457517673,-0.4469103931671416,0.5042806348205966,-1.328934128670222,-0.29979471377043987,-0.3504902174098961,-2.202049440508486,-0.7956503198521166,-0.6356772731456682,0.9938131317952668,1
24,Wolf 1061 c,-0.792963124411559,-0.446137296199761,0.3284340989418736,-1.2744495646839786,-0.3456252591398557,-0.43668645696830294,-2.332363208361752,-0.7956503198521166,-0.7019937586481574,0.9928557000790917,1
25,GJ 357 d,-0.6554199358627776,-0.4415158943280863,-0.2565232205095867,-1.451237994122327,-0.23917948726479135,-0.3127793626030931,-2.332363208361752,-0.7956503198521166,-0.9009432151556249,0.9928038057972682,1
26,LHS 1140 b,-0.798019859284676,-0.44103485621504956,1.8793666584003534,-1.4608016231207346,-0.32628755377631985,-0.42946752190528636,-2.332363208361752,-0.7956503198521166,-1.8426373092909714,0.990606408241682,1
27,GJ 433 d,-0.6958738148477133,-0.4430225744178479,-0.13305987925633633,-1.3068574025739574,-0.294395145226876,-0.34079314045957537,-2.332363208361752,-0.7952298547098657,-1.2325256426680709,0.9905932924415835,1
28,Kepler-186 f,-0.8920751279246516,-0.44905788474319863,1.028078945535726,-1.482948166562342,-0.029936030374508357,-0.06712007986163365,-2.1816454058759285,-0.7842610821637678,-1.8293740121904734,0.9895556594496356,1
29,Wolf 1069 b,-0.9102793734678727,-0.4497279021149284,0.8816262449685476,-1.3799923197418824,-0.35212623949954835,-0.4601749322479688,-2.332363208361752,-0.7956503198521166,0.35907000939166944,0.9869915915234825,1
30,Kepler-705 b,-0.7019418966954537,-0.4432338875889319,-0.11142536555746232,-1.356595469345149,-0.23806668415589666,-0.28261067875765067,-2.2265342820675547,-0.791286979043591,0.35907000939166944,0.9869094643063038,1
31,GJ 180 c,-0.64126107821805,-0.4410004963498327,-0.2974737408256254,-1.3538810522387823,-0.3274366546593447,-0.3935883371890995,-2.332363208361752,-0.7956503198521166,0.0274875818792235,0.9850815555529493,1
32,K2-332 b,-0.6837376511522325,-0.4425810501498106,-0.17277509149475842,-1.2906106346413173,-0.3460916711715546,-0.44001450778454193,-2.332363208361752,-0.7956503198521166,0.4917029803966477,0.9838073676044443,1
33,Ross 508 b,-0.7585773272743637,-0.4451236801758621,0.12696772649487645,-1.2842643903507132,-0.36563016074586163,-0.47476364579322916,-2.332363208361752,-0.7956503198521166,-1.4314750991755385,0.9816307584768462,1
34,Kepler-1410 b,-0.7686907970205975,-0.44543291896281434,0.18048299914292915,-1.3040034391253341,-0.22451737238247382,-0.2585834769807448,-1.7232347611311398,-0.7768241874910105,-0.03882890362326567,0.9800940843965822,1
35,GJ 682 b,-0.7383503877818959,-0.44443648287152393,0.03870253342685774,-1.4760913787925876,-0.3467348116177286,-0.4463835339186237,-2.332363208361752,-0.7956503198521166,0.0274875818792235,0.9789460455603204,1
36,TRAPPIST-1 g,-0.9003681731165634,-0.4497261841216675,0.7029725638237455,-1.5006318554174607,-0.3611726667616015,-0.48212264974552815,-2.332363208361752,-0.7956503198521166,0.16012055288420185,0.9738652113441537,1
37,K2-18 b,-0.6493518540150371,-0.4366711533325017,0.1647068670676453,-1.2823309733491597,-0.3031819248150197,-0.37861174056582636,-2.332363208361752,-0.7956503198521166,0.6906524369041153,0.9712608743925195,1
38,GJ 163 c,-0.6230568326748289,-0.4403132990454944,-0.34529705068513245,-1.280097723869585,-0.3237703146894289,-0.3974671679692278,-2.332363208361752,-0.7956503198521166,0.558019465899137,0.9702403969394626,1
39,Kepler-440 b,-0.7525092454266232,-0.44491752098456067,0.09998401113887381,-1.271127465001715,-0.11115304645280734,-0.2718361488128499,-1.6661034641599792,-0.7719344833462072,-2.09463995420043,0.9684713368031478,1
40,Kepler-1653 b,-0.6898057329999729,-0.4428043892737205,-0.15340773042236402,-1.3086832332771359,-0.0008992194893661809,-0.02553039427470234,-0.7506424436459058,-0.6941635155634134,-1.29884212817056,0.9638605714058801,1
41,Kepler-442 b,-0.8576893307874562,-0.4479411891236489,0.8395223882740431,-1.370006495692471,-0.07962167202646313,-0.09190149873467564,-1.3015513787249544,-0.7525697365908695,-2.09463995420043,0.9618036848560461,1
42,GJ 1061 c,-0.8900524339754049,-0.4490063449453732,1.0092829977780757,-1.2651885290519724,-0.37712567651686807,-0.4948689186702276,-2.332363208361752,-0.7956503198521166,-0.6356772731456682,0.957739802512347,1
43,Kepler-155 c,-0.6756468753552454,-0.4422889912954669,-0.19873642976172076,-1.3073237055777138,-0.24762776743362563,-0.2718361488128499,-1.157362867321549,-0.7808333761107193,-1.046839483261101,0.95707293931614,1
44,TRAPPIST-1 e,-0.9123020674171194,-0.4497279021149284,0.6393932076695414,-1.3811468349137914,-0.3787819406265585,-0.501064273388488,-2.332363208361752,-0.7956503198521166,0.16012055288420185,0.9495975762529183,1
45,GJ 180 d,-0.5906937294868804,-0.4390076241672517,-0.4180902429674859,-1.498815411734773,-0.09653762911041922,-0.19964679818268416,-2.104790208759962,-0.7956503198521166,0.0274875818792235,0.9493078088742347,1
46,Kepler-1544 b,-0.7686907970205975,-0.44543291896281434,0.18048299914292915,-1.342113814658443,0.07954620833115436,0.05150749483062377,-0.6431811945811038,-0.6857106996350619,0.0274875818792235,0.9439726727113006,1
47,Kepler-283 c,-0.7606000212236104,-0.4451752199736874,0.1396522552222592,-1.3330569301567758,-0.1347234987491892,-0.1651683023593214,-1.3709250964756494,-0.7591936299765444,-1.2325256426680709,0.9438097377835445,1
48,Kepler-1540 b,-0.6250795266240757,-0.44038201877592825,-0.3394917389510058,-1.3545550623971105,-0.04269906689695736,-0.055699078120144754,-1.1138342601054267,-0.7346246868634153,0.558019465899137,0.9380254493580651,1
49,Kepler-443 b,-0.6574426298120243,-0.441618973923737,-0.2534553509543139,-1.335194454114454,0.10449812529185633,0.0007594587906117207,-0.864905037588227,-0.701543016948523,-0.171461874628244,0.9337379417894782,1
50,Kepler-174 d,-0.6857603451014793,-0.4426669498128529,-0.16773321313778472,-1.3947339175913016,0.30078787389724504,0.1968559037859873,-0.6513428084341267,-0.6747655811490781,-2.09463995420043,0.9290524618317191,1
51,GJ 514 b,-0.6978965087969601,-0.4430620882628474,-0.12185216568947323,-1.5116085070885328,-0.00039894906522237346,-0.07789460980643452,-2.2183726682145317,-0.7903955282505442,-1.0335761861606034,0.9274871660079949,1
52,GJ 3293 d,-0.5886710355376336,-0.43893890443681793,-0.42329052756162716,-1.3959260250193866,-0.26038041827446534,-0.32361853972756277,-2.332363208361752,-0.7956503198521166,0.0274875818792235,0.9174408181247453,1
53,LP 890-9 c,-0.8522280571244899,-0.40853042371985043,2.8012371505367164,-1.3306083534707014,-0.3721442027832388,-0.48965404617694397,-2.332363208361752,-0.7956503198521166,-0.2908315485327245,0.9135097375959422,1
54,HD 40307 g,-0.6109206689793483,-0.4397979010672407,-0.3713695230332218,-1.3861731536878898,0.16120304549067982,0.11389202321102067,-0.5479623662958362,-0.6949771277164832,-2.09463995420043,0.9068012204975373,1
55,K2-3 d,-0.8338215421863441,-0.4482160680453843,0.25102929829424886,-1.2542621918107295,-0.27046038845850684,-0.3155807403887414,-2.060581467056088,-0.7823212130669651,-1.146314211514835,0.9044491986454954,1
56,Kepler-62 f,-0.8435304731427287,-0.391865889089648,2.8012371505367164,-1.4434067011030123,0.3569479331267996,0.24103147655967072,-0.5901307045364547,-0.7050581392023355,-2.09463995420043,0.8941101791579462,1
57,TRAPPIST-1 d,-0.9123020674171194,-0.4497279021149284,0.4315628999301768,-1.2979250451817623,-0.3845615118801376,-0.5059666845133725,-2.332363208361752,-0.7956503198521166,0.16012055288420185,0.887966057193769,1
58,Kepler-1638 b,-0.7504865514773765,-0.4448488012541268,0.0910815154669966,-1.2615602137177535,0.33454232502087816,0.27012270741063305,0.4776804412340469,-0.41918489548858495,-0.171461874628244,0.886659520951505,1
59,Kepler-22 b,-0.7039645906447004,-0.43636191454554946,0.8433800307219841,-1.3426650646758622,0.42053207868843523,0.34231205804079884,0.322609778026611,-0.4823040728493958,-1.796215769439229,0.8812225363506465,1
60,Teegarden's Star b,-0.9123020674171194,-0.4497279021149284,0.8581961276282968,-1.2931533024033675,-0.38213683127222714,-0.5054279580161324,-2.332363208361752,-0.7956503198521166,-1.3651586136730491,0.8748009789034233,1
