P_MASS,P_RADIUS,P_PERIOD,P_SEMI_MAJOR_AXIS,P_ECCENTRICITY,P_INCLINATION,S_MAG,S_DISTANCE,S_TEMPERATURE,S_MASS,S_RADIUS,S_METALLICITY,S_AGE,S_LOG_LUM,S_LOG_G,P_ESCAPE,P_POTENTIAL,P_GRAVITY,P_DENSITY,P_DISTANCE,P_PERIASTRON,P_APASTRON,P_DISTANCE_EFF,P_FLUX,P_FLUX_MIN,P_FLUX_MAX,P_TEMP_EQUIL,P_TEMP_EQUIL_MIN,P_TEMP_EQUIL_MAX,P_TEMP_SURF,P_TEMP_SURF_MIN,P_TEMP_SURF_MAX,S_LUMINOSITY,S_HZ_OPT_MIN,S_HZ_OPT_MAX,S_HZ_CON_MIN,S_HZ_CON_MAX,S_HZ_CON0_MIN,S_HZ_CON0_MAX,S_HZ_CON1_MIN,S_HZ_CON1_MAX,S_SNOW_LINE,S_ABIO_ZONE,P_HABZONE_OPT,P_HABZONE_CON,Habitability_Score_Index,Stellar_Compatibility_Index,P_TYPE_Jovian,P_TYPE_Miniterran,P_TYPE_Neptunian,P_TYPE_Subterran,P_TYPE_Superterran,P_TYPE_Terran,S_TYPE_TEMP_A,S_TYPE_TEMP_B,S_TYPE_TEMP_BD,S_TYPE_TEMP_F,S_TYPE_TEMP_G,S_TYPE_TEMP_K,S_TYPE_TEMP_M,S_TYPE_TEMP_O,S_TYPE_TEMP_PSR,S_TYPE_TEMP_WD,P_TYPE_TEMP_Cold,P_TYPE_TEMP_Hot,P_TYPE_TEMP_Warm,Derived_S_TYPE_A-Type,Derived_S_TYPE_B-Type,Derived_S_TYPE_F-Type,Derived_S_TYPE_G-Type,Derived_S_TYPE_K-Type,Derived_S_TYPE_L-Type,Derived_S_TYPE_M-Type,Derived_S_TYPE_O-Type,Derived_S_TYPE_Y-Type,P_HABITABLE_BINARY
-0.022497338007840144,1.6828142694665076,-0.363351620508869,3.1307604077552598,-0.524912010776804,0.33294275063079337,0.28108141655650454,-0.2855837864525252,0.26683875003095425,-2.07334604660076,-0.23424928317397073,0.0274875818792235,-0.08676113083263405,0.08683799412927885,0.1489197078826855,0.2556484149551362,-0.10365512406721218,-0.3442588839280303,-1.0881703861429195,2.9864315943146704,3.322219236081727,2.558763529083234,3.0837013168543086,-0.45058448253442474,-0.44946722145650314,-0.4489741935195408,-0.12006216820978066,-0.10676772378294533,-0.13657914221618636,-0.12523437080561237,-0.10676773955692248,-0.13657913975607844,-0.37323801982520044,-0.22057021162321983,-0.22876402225599124,-0.22056838989221245,-0.2287627851194588,-0.22068181643042128,-0.2287627851194588,-0.22054611041919314,-0.2287627851194588,-0.22040856538142847,-0.24889794149343022,-0.22263541600192238,-0.18640130844209774,-0.6725855748171699,0.16015647347179646,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0
-0.42347696508920735,-0.5421490747049575,-0.3061554437674179,-0.3177356463777016,-0.524912010776804,-0.4359583257173918,0.999842362080179,1.146257981710374,0.5715390005438108,0.6239182845330916,-0.07855836817314585,0.0274875818792235,-1.5588218543028067,0.0479955338941706,0.19126290471709104,-0.2889844450235566,-0.36239799903515035,-0.16678674499590268,0.18764865022452978,-0.3218458929701168,-0.28040206104489823,-0.3348965772711186,-0.3190429303231526,-0.5586791324723277,-0.5553049307772253,-0.5591404399613118,-0.5830565169678867,-0.5500087395452335,-0.6420132298701681,-0.5990614800963683,-0.5500087377479624,-0.6420132275108793,-0.3958882354277261,-0.26489023184245086,-0.2751843452034519,-0.2648911843464233,-0.2751829946014168,-0.26509672286451824,-0.2751829946014168,-0.2648835223290931,-0.2751829946014168,-0.2569905107574643,0.2241052165744903,-0.22263541600192238,-0.18640130844209774,0.7702577557371365,-0.25523162345037137,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0
-0.4432338875889319,-0.7019418966954537,-0.37657815194561134,-0.4595284604512807,-0.524912010776804,0.7722850345696464,0.8176414836739784,1.0075639037499124,0.461357213528001,0.17437422934411603,-0.2120077238881386,0.09380406738171267,0.20832549758349442,0.2658510717345604,0.19126290471709104,-0.5358472842282764,-0.4321842598567861,-0.3829951407616659,-0.11142536555746232,-0.45787329949598016,-0.4576243108586936,-0.45387604049558683,-0.4589545540588752,-0.057105582716349385,-0.01879630295003904,-0.11225026322674955,0.5599247877564602,0.5988993992310689,0.48574776621493954,0.5461941139293376,0.5988992900566976,0.4857476461600342,-0.25184965478023996,-0.03067683372219368,-0.03353160651127466,-0.03066695416859421,-0.03353066721315737,-0.030507974090833567,-0.03353066721315737,-0.03060225360622771,-0.03353066721315737,-0.0387098959411876,0.0046610438376523695,-0.22263541600192238,-0.18640130844209774,0.637947438349435,0.08957392137493071,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0
-0.4310361354369281,-0.41674204985165675,-0.390556258569696,-0.50122589133766,-0.524912010776804,0.33294275063079337,0.5992156274744186,-0.30104690819644325,-0.40649439284343847,-0.16278381204761527,-0.5456311131756203,1.751716204943942,-0.08676113083263405,-0.686633605335051,0.6146948730611539,-0.4453893078252211,-0.4100513731141607,-0.4249919419411158,-0.6829002405048503,-0.4978752799864885,-0.509740580370805,-0.48886468203652084,-0.5000987777562343,0.20704513998593496,0.263752770551764,0.12310178675757917,0.8172109400077414,0.8575196873268794,0.7396078128687971,0.8039923976784304,0.8575197406344299,0.7396078492696061,-0.6593927270714536,-0.7867009133865224,-0.783742245075606,-0.7867022429604933,-0.7837412780510014,-0.7868009265981335,-0.7837412780510014,-0.7867054492748183,-0.7837412780510014,-0.7940776752284158,-0.7587731669309857,-0.22263541600192238,-0.18640130844209774,0.14317545465656786,1.7230636150068994,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0
-0.44350876651066723,-0.7100326724924408,-0.3646445294209693,-0.43442380567989475,-0.524912010776804,-0.0901507432904116,0.4094828229923707,-0.3711059491240098,-0.1616459772527502,-0.23770782124577788,-0.6123557910331164,-0.37041133113571156,-0.8834950275561813,-0.4299356072595529,0.6993812667299687,-0.5387550630322987,-0.4328297351677925,-0.3810743037895945,-0.08092557459527921,-0.43378941976913654,-0.4262468152609623,-0.4328105276298565,-0.4341829671816538,-0.48811809250301125,-0.4798292468014357,-0.4962722212567897,-0.23623172869488646,-0.20138552031216211,-0.29980687262437244,-0.2515465381813934,-0.2013855058415107,-0.29980686191688416,-0.5952936644364578,-0.6259604393123337,-0.6238747726338181,-0.6259580003802134,-0.6238736536872272,-0.62598006428166,-0.6238736536872272,-0.6259374346750414,-0.6238736536872272,-0.6360715161829839,-0.6301602257675313,-0.22263541600192238,-0.18640130844209774,0.40227181106746457,0.21714443695602137,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0
-0.42931814217608244,-0.5704667899944126,-0.37486056132965845,-0.46179111173968895,-0.524912010776804,0.001509097834811783,-0.2766397762026341,-0.9434429599535281,-1.5395984494381236,-0.9494859086283218,-0.8792545024631017,-0.7683102441506466,1.05986119672718,-1.30304656124003,0.6570380698955631,-0.3495636366311199,-0.3822662440836199,-0.2296961200240173,0.07300112092845205,-0.46004394960011624,-0.4604523254833818,-0.45577464895129643,-0.46118718635253036,-0.5370019080263547,-0.5321178668894484,-0.5398265453819652,-0.4492013045711418,-0.4154594321290988,-0.5099404767640767,-0.4649399080243455,-0.41545942695728355,-0.5099404726716082,-0.7463475987746536,-1.073340219866935,-1.0582115631884244,-1.0733503546592091,-1.058213691059772,-1.0733529386884797,-1.058213691059772,-1.0734289353662254,-1.058213691059772,-1.0775495472791503,-1.0442160423275846,-0.22263541600192238,-0.18640130844209774,0.6938338563337747,-1.0725679516013737,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0
0.27422397824652384,1.6221334509891039,-0.3844978485250921,-0.475474764769586,-0.37018033640657094,0.33294275063079337,-1.7227695827652372,-0.9440624991822236,0.6762797116576051,0.9985383305239038,0.8333455625459704,1.818032690446431,0.0397045670599926,0.7893798835990631,-0.6979442288054439,0.6487570855743836,0.17270416323084684,-0.08545392039257327,-0.9254034261241579,-0.4731635748608824,-0.478747021425216,-0.46645649135289796,-0.4746873312215502,1.2278105031439235,1.291447270555239,1.0883080768098643,1.437128790951682,1.4527794310974274,1.3794415564745712,1.4255557264283008,1.4527793587521638,1.379441638783173,0.3320476983554528,0.6535973827577888,0.6532536923191511,0.6536196799329647,0.6532539331736421,0.6542072607403454,0.6532539331736421,0.6537472626409706,0.6532539331736421,0.6396194367066284,0.4600649754409775,-0.22263541600192238,-0.18640130844209774,-1.0181964207962797,1.5098368613437942,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0
-0.40818682506768134,-0.028384811596273627,-0.34793957321911545,-0.4032854141394203,-0.20988944020267672,0.33294275063079337,-1.8385209400251452,-1.0480897290132818,-0.5846896286344394,-0.3126318304439405,-0.5456311131756203,1.818032690446431,0.25891177674054505,-0.6038822770080812,0.6570380698955631,-0.35600287267649383,-0.38427323755534804,-0.4570873661049554,-0.9463597352986387,-0.40384544629258573,-0.3928223757444091,-0.4029933338825696,-0.40343924839264017,-0.5522735052010243,-0.5521885454933136,-0.5500455786485602,-0.5396857278652102,-0.5295205504053948,-0.5751468122603219,-0.5548980997492258,-0.5295205403925035,-0.5751468159724104,-0.64112349919902,-0.7290764065678106,-0.7186383827100047,-0.7290726680840273,-0.7186380312173408,-0.7289286935975344,-0.7186380312173408,-0.7290551611149784,-0.7186380312173408,-0.7461286056528541,-0.8368219475447385,-0.22263541600192238,-0.18640130844209774,0.12646285982008978,1.8113012779048607,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0
3.4547187885524333,1.2985024191096184,3.673799998797402,3.2880685449493465,1.1335891695987486,0.8389467372061773,-2.1291091039679544,-0.9968665142869061,-0.6418209256056,1.9725504501000168,2.8795690168425243,0.558019465899137,-1.4905303774407885,1.7266653370984149,-2.603388086353734,3.0554695333639135,3.5025090543893485,3.504680746327702,2.8012371505367164,3.2969896469878552,3.322219236081727,3.3348275106081937,3.2920803309287834,-0.6004113747489405,-0.6016328688481939,-0.5941100016007069,-1.1519668793246542,-1.1824015572853876,-1.1218315885417194,-1.1578835320720484,-1.1824015683746048,-1.121831585410241,3.2951516246174632,2.6708194818586164,2.6876942142098312,2.670755110920215,2.687692055149277,2.6690276935169126,2.687692055149277,2.670396299276978,2.687692055149277,2.6611598246429486,-0.7356375100451171,-0.22263541600192238,-0.18640130844209774,-1.4966335555091466,0.8101953216457849,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0
0.901605430183796,1.5614526325117006,1.5662981635728677,1.5275103519688926,0.3367673734406618,0.33294275063079337,-2.1291091039679544,-0.9251774765725075,-0.7479219056948982,1.9725504501000168,2.8795690168425243,0.558019465899137,-0.08676113083263405,1.7266653370984149,-2.603388086353734,1.273897087849581,0.7669064946161745,0.4806322843750332,-0.5630934450357429,1.4569175221082413,1.7864510807348588,1.3742271381616031,1.5039257900856826,-0.5731026073994678,-0.576561151529715,-0.565861520120605,-0.7028132704328329,-0.7234921349497045,-0.698808793787289,-0.7143657315010667,-0.723492115675267,-0.6988088063541775,3.2951516246174632,2.6708194818586164,2.6876942142098312,2.670755110920215,2.687692055149277,2.6690276935169126,2.687692055149277,2.670396299276978,2.687692055149277,2.6611598246429486,-0.8173932570265879,-0.22263541600192238,-0.18640130844209774,0.25507911903785824,0.6745522969094212,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0
